jobtitle,company,location,jobsnippet,salary,companyrating,href
Senior Systems Engineer – Systems Integrator Engineer,Raytheon Missiles & Defense,"Huntsville, AL",Experience analyzing electrical diagrams and schematics. Perform root cause and corrective action analysis as required. Occasional business travel is required.,N/A,3.7 ,simplyhired.com/job/7dCxarOFDIV4w5uIyFBikNNS3Q08GThf0hd2WrP4fc25-NNIdDUjKQ
Senior Manufacturing Engineer,Raytheon Missiles & Defense,"Tucson, AZ","Provide technical input and peer review to engineering design changes. Typically requires a Bachelor’s in Science, Technology, Engineering, or Mathematics (STEM…",N/A,3.7 ,simplyhired.com/job/OnnPHlcbTkJzvporGWcpKXrjVR7AXVs6nkkb6PBGQAxWcPrl5AuoXA
Senior Ground Software Engineer,Vast,"Long Beach, CA","Bachelor's degree in engineering, computer science, or STEM discipline; OR 4+ years of professional experience as a software engineer.",Estimated: $131K - $165K a year,4.6 ,simplyhired.com/job/QBeosFqJo3gaBlWlitX6uRcI3RkoTiuc0yksKcErp0L15YEq1-PDHw
Entry-Level Electrical Engineer -- Electric Grid Infrastructure Services,Sargent & Lundy,"Glendale, AZ","Knowledge of design techniques, tools, and principles involved in the production of technical plans, blueprints, drawings, and models.",Estimated: $57.9K - $73.3K a year,3.7 ,simplyhired.com/job/VgqFkeEsqBkEBRpTfRz7FGBwSd8FA_KFnJgZ3LJ5F7wwcjxKj5EFOA
Senior Backend Engineer,Structure,"New York, NY","Experience in Git/GitHub and branching methodologies, code review tools, CI tools, JIRA, Confluence, etc. Design, develop, and implement key features that drive…",Estimated: $201K - $255K a year,4 ,simplyhired.com/job/oGrsjY5gS6B7xLi3om_JEOe9YIWyIk7x1AJvoavUoPn4vHDi-4lIVA
Sr. Ground Software Engineer (Dragon & Falcon),SpaceX,"Hawthorne, CA","As a Senior Software Engineer on the Ground Software team, you will develop and support software solutions for complex engineering problems across our Falcon…","Estimated: $160,000 - $220,000 a year",3.6 ,simplyhired.com/job/QHulFmq5NtB12Galmeh-XJadkuCcgbiDsa2O-3JtTp7TY7QpCI9Lzg
Minimum $20k Sign-On Bonus** Senior Power Design Engineer,Raytheon Missiles & Defense,"Tucson, AZ","The Low Voltage Power Products Department is responsible for the development, from concept to integration, of Telemetry and Flight Termination products; power…",N/A,3.7 ,simplyhired.com/job/lbR4ceLur4Hjr3RFAyPeaYA9slGDzU7lYkQ7Vg2MDp92w68QhGvrfQ
Sr Principal Ctrls and Actuation Systems Engineer,Raytheon Missiles & Defense,"Tucson, AZ",You will be expected to apply sound mechanical engineering principles to solve complex system problems while teaming with a cross-discipline team including…,N/A,3.7 ,simplyhired.com/job/QzTd7Zr_vx-Gu_r6mx4Z2TkY0f8RgiSmF4NNr5Ukq0jwGUSCbn_y_w
Minimum $20k Sign-On Bonus** Senior Systems Engineer - Test Systems (Hybrid),Raytheon Missiles & Defense,"Tucson, AZ","Past experience with embedded test techniques, design for test, design margin analysis, and/or design for manufacturing. Master’s degree in engineering.",N/A,3.7 ,simplyhired.com/job/yXBck-S8WGCT9cfLZ2olIKO499-Ei2W5AyRRTnbmddg8Gtuby7_N_Q
Senior Application Security Engineer,Navy Federal Credit Union,Remote,"Advanced degree in Computer Science, or related field (e.g., cybersecurity) or equivalent technical experience. Military Times 2021 Best for Vets Employers.","$101,000 - $185,200 a year",3.9 ,simplyhired.com/job/ODiGkN1PPfftsraY13eiKlZgib9Le_knQecVXp_qa50Y6xHK7y8zgg
Data Engineer/Senior Data Engineer (Master Data Management),Liberty Mutual Insurance,Remote,"Design and develop moderate complex programs and tools to support ingestion, curation and provisioning of enterprise data to achieve advanced analytics or…","$91,300 - $166,300 a year",3.6 ,simplyhired.com/job/sJGhAwPWjWYaOxToJuScX_0mfIRwd3DkDxgAjKlZG1r4MHWY8j4cdg
Software Engineer Principal-Architect - Content Management (REMOTE),Home Depot / THD,"Atlanta, GA","The knowledge, skills, and abilities typically acquired through the completion of a bachelor's degree program or equivalent degree in a field of study related…","$240,000 a year",3.7 ,simplyhired.com/job/meXTrdZ2e3z7RkFFAn6lmyfhLrHfb8y_FZt4yhveh7vA4iwzZGbMgA
Cloud Security Engineering Consultant (Entry Level),Beyond Mission Capable Solutions,"Concord, MA",Work with project lead(s) and technical team to develop/provide security planning and guidance to customers to implement identified security solutions as needed…,"Estimated: $50,000 - $150,000 a year",3.7 ,simplyhired.com/job/8ziEMvtZHTGj4Fo-7MGdKB0jmpS_t92oNAMJR-lvYCfol3COjpr97w
Associate Bridge Engineer - Transportation Infrastructure,Parsons,"Hartford, CT","A full-service engineering and construction firm, we work in diverse, collaborative teams, both within the company and with our partners and customers, to plan,…",Estimated: $23.27 - $40.72 an hour,3.9 ,simplyhired.com/job/NlBjPDUzeRHZGQMoP6p7FMgdtGsvZNK_ltBWU49XbfZyGBT8dbiuEQ
Senior Software Engineer,Sterling Hoffman,"Chelmsford, MA","Although all candidates are welcome and encouraged to apply, preference will be given to those with degrees in a relevant field. Review and debug code.",Estimated: $101K - $128K a year,4 ,simplyhired.com/job/gK-XDsX3dCtNcE6tk3kCQkOZ4gu7PX8Ts64XZn05CzlRYtHhkzdC7g
Sr. Principal Mechanical Engineer - Propulsion,Raytheon Missiles & Defense,"Huntsville, AL","Apply or develop highly advanced technical technologies, scientific principles, theories and concepts to the systems integration of propulsion, thrusters,…",N/A,3.7 ,simplyhired.com/job/3ebdg8pUH1Stv_nYrma3WM8QQ4Y-tV22Ug_V0QDhyXpp4LsAEI8jgw
Minimum 20k Sign-On Bonus – FPGA/ASIC Senior Design Engineer,Raytheon Missiles & Defense,"Tucson, AZ",An advanced degree in a related field may be substituted for two additional years of experience. Designers work with circuit card designers and systems…,N/A,3.7 ,simplyhired.com/job/_imI_wsMhjM1CKrKnFj6apRAnWXINp7CQuhQIqY8tgOWB366ixP3uQ
Senior EMI Test Engineer,Raytheon Missiles & Defense,"Tucson, AZ",PDPD is the internal customer facing organization for internal design activities and provides the expertise that optimizes electronic hardware designs for…,N/A,3.7 ,simplyhired.com/job/4lZ9V5YEO3cEnU4Pvdrc83nS3U-G1_HlE58b5GUo1i1ID6nWXtwpMw
Minimum $20k Sign-On Bonus** Guidance Electronics Senior IMU/NAV Engineer,Raytheon Missiles & Defense,"Tucson, AZ","Our core electrical engineering responsibilities include architecture, analysis, requirements, integration, and test. Ability to lead cross-functional teams.",N/A,3.7 ,simplyhired.com/job/IYmiTD1WOfSQPesikCf4vt6Domsxr20BdMUhQV2Y0wAkCYD4UQlWGQ
Senior Safety Engineer (Experienced Level Professional),Michelin,"Lexington, SC","Solid understanding and experience in interpreting, applying and documenting federal, state and local safety and health regulations and industry best practices.",Estimated: $80.8K - $102K a year,4 ,simplyhired.com/job/4OeelS5WE9xSjR5mr1boTlXfgSfaVIn46O7Qb7Ur36Gcg25RxtEJqw
Senior COTS Computing and Networking Engineer - HYBRID role,Raytheon Missiles & Defense,"Tewksbury, MA","Experience collaborating in development with hardware engineering disciplines, supply chain, suppliers, field engineering, on-site installation and trades, and…",N/A,3.7 ,simplyhired.com/job/dKOVXnBVhEox3CqsYQvSHq_2gLjl_KyaGNu3GSBUaHbuaX1e9_U9ww
Minimum $40k Sign-On Bonus** Senior Principal Cryogenics Engineer,Raytheon Missiles & Defense,"Tucson, AZ","Assignments may include design and analysis of high-pressure gas supply assemblies, Joule-Thompson coolers, Stirling coolers, Dewar design, Ultra High Vacuum …",N/A,3.7 ,simplyhired.com/job/sNc4qqmvyMeklVZivY8QTkiwYw2G5iXqKORubJNA2eJCgYuPi3Lghg
Minimum 20k Sign-On Bonus-Senior EMI Effects Engineer,Raytheon Missiles & Defense,"Tucson, AZ",CEPD is the internal customer facing organization for internal design activities and provides the expertise that optimizes electronic hardware designs for…,N/A,3.7 ,simplyhired.com/job/lLBmm73-n0pv4rvagcELOXHKAhhCN6IpmVcV0iY_Q1Z53YEz-o-D-g
Engineer/Architect 1/2/3 (2373),State of Alaska,"Juneau, AK",If utilizing this education you must show that the education credentials have been submitted to a private organization that specializes in interpretation of…,"Estimated: $6,998 - $8,566 a month",4 ,simplyhired.com/job/QedqEwk_XmqRg3hQAIIYG_r2yWXfWYGdMqWbzam-TR5Pz6aLEFduHw
"Process Engineer, Sr. 2",Tower Semiconductor,"San Antonio, TX","Ph.D./M.S. recent graduate in mechanical engineering, chemical engineering, electrical engineering, physics, or materials science. This Job Is For You If.",Estimated: $92.4K - $117K a year,3.5 ,simplyhired.com/job/U94Fz8yeqJPAFmuDiD7aVh_Wv18sQB0BrxIrnI_HNfcC8ZQHv-Ea_Q
Senior Software Engineer - Account Identity,Roblox,"San Mateo, CA","BA/BS in Computer Science, Applied Math, Physics, Engineering, Statistics, or other technical field. As a Senior Frontend or Full Stack Software Engineer on the…","Estimated: $218,540 - $283,780 a year",4.2 ,simplyhired.com/job/yuMcaLDZqx9rpdwjyUTGSvEzDxxXJEgVWf2_PMQ17ch6IGayKlrnGQ
Entry-Level Electrical Engineer -- Electric Grid Infrastructure Services -- Hybrid,Sargent & Lundy,"Richmond, VA","Knowledge of design techniques, tools, and principles involved in the production of technical plans, blueprints, drawings, and models.",Estimated: $61.8K - $78.3K a year,3.7 ,simplyhired.com/job/TC5Ezhdd5hdin1tFf2G1AwBl265kg_UKA9K6_8RwyEFwc_f7jlwevQ
Senior CBRN Systems Engineer,"ENSCO, Inc.","Arlington, VA","All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, gender identity, sexual orientation, national…",Estimated: $116K - $147K a year,4.1 ,simplyhired.com/job/_23lxmLx4i3x_-TPle-9f8pMo9AtjjzwyFx4B5FAejyTHDVLu6t2VA
Senior Mechanical Design Engineer,Sterling Hoffman,"Wilder, VT",Work alongside design engineers and CAD personnel to design new advanced turbomachinery components and modify existing designs. A university degree is required.,Estimated: $90.1K - $114K a year,4 ,simplyhired.com/job/f91AL05FkfDf47Vhwp7iSYk8N7xxBDH2bGvNhU1QkoJLwmM1XvhSzQ
Minimum $20K Sign On Bonus - Senior RF Integrated Photonics Engineer,Raytheon Missiles & Defense,"San Diego, CA","Experience with integrated photonics modeling and electronic design tools (e.g., Ansys HFSS/Lumerical, Cadence/Synopsis tools, etc.).",N/A,3.7 ,simplyhired.com/job/8cU8lRc8KGpKeUBAp1GFRlXROiwSJKQNu3WN9msVrW1kfruvSt4IFw
Senior Electrical Engineer- Analog/ Power,Raytheon Missiles & Defense,"Marlborough, MA","Present reviews of technical data to program leadership and technical staff. Experience in power system design, power conversion, power distribution, power sub…",N/A,3.7 ,simplyhired.com/job/x7h5WFp6dCSLXMILzwCxe7lNPjvyVP2wlTLkI24ltzvifTvkZWJSDA
HVM Sr. Sales Engineer - Chicago,Vertiv Co.,"Chicago, IL","This activity will be done using all principles of good salesmanship, including personal client visits, telephone selling, group selling, territory and account…",Estimated: $81.1K - $103K a year,3.6 ,simplyhired.com/job/YgnWoZRyEsNTzL7z-ROhnNjlw5GlV0HjKL1jHxqvTt5bNG76Ef9_3g
Senior Façade/Windows and Door R&D Engineer,ZURU Tech,"Los Angeles, CA","As an out of the box thinker with a can-do attitude, you will work alongside a team of product design engineers to design a new generation of buildings.",Estimated: $122K - $154K a year,4 ,simplyhired.com/job/B2TXt4EoMJrM8LQwjIzu9KkQqls2DTC2SgE9vnK8uMCBgOe2AZdzXg
"Civil Engineer I, II or Sr (Traffic)",The City of Overland Park,"Overland Park, KS","Bachelor's degree in traffic engineering, civil engineering, or a related engineering field of study to gain formal knowledge of traffic engineering design,…","Estimated: $57,288 - $103,044 a year",3.9 ,simplyhired.com/job/HQikirHPlHXk_rD8mhoaZfeb0vMurJIJNdP69kiRvMeKmZAU27fVuw
Cloud Security Architect - Duke Health Technology Solutions - Durham,Duke Health,"Durham, NC","Level 3 - A Master’s degree in computer science, information systems, business management, engineering, mathematics, healthcare, a physical science, or other…",N/A,3.8 ,simplyhired.com/job/8oYhAN-dXaMWKsZm-HAjPxl1hrdO7wQ7I8k3QXZ17-kR98QbJpBeKg
"Mechanical Engineer (I, II, III, Senior I or Senior II)",Chelan County Public Utility District,"Wenatchee, WA","The Mechanical Engineer I - Engineering & Project Management performs basic entry level analysis, design and construction of mechanical components, equipment…","Estimated: $62,240 - $122,200 a year",N/A,simplyhired.com/job/HXlvEIVpwIcMj-naWx5V_VivAljRbtMi0bBK_3E90vNCsXecsmrWwA
Senior Mechanical Engineer (Onsite),Raytheon Missiles & Defense,"McKinney, TX","Typically requires a Bachelor of Science degree in Mechanical Engineering and 5+ years of experience in mechanical engineering design, analysis or manufacturing…",N/A,3.7 ,simplyhired.com/job/bfrVdtzUoAGBwr2iLxf8w3GcYnEwAgDXcKG_rj0246Co0DZuKTZFVA
Senior Systems Design Engineer - **Minimum $20K Sign-On Bonus**,Raytheon Missiles & Defense,"Tucson, AZ","Systems engineering, architecture, and/or design. Experience with model-based systems engineering and associated tools. Current DoD TS/SSBI clearance.",N/A,3.7 ,simplyhired.com/job/AyZd_bqqttnHGcqmoYw7iMZt7lV08aYlnZsQl1zzbIko0vucd0_RDA
Sr. Principal Electrical Engineer - Fuzing,Raytheon Missiles & Defense,"Tucson, AZ","Experience performing electrical stress analysis, electrical thermal analysis, environmental survivability assessment.",N/A,3.7 ,simplyhired.com/job/VliIHRT6r5fFmjBSy81NAPeHSR1VN7yJcQo9RB4GQtCULINNgF5pdQ
Senior Principal Software Engineer - Section Leader,Raytheon Missiles & Defense,"Woburn, MA","Our 2000+ software engineers design, develop, and build innovative solutions for our customers. 10+ years’ experience in technical software design and…",N/A,3.7 ,simplyhired.com/job/-l9Zk5Tl_rRZrJeHRtROgGfOnTOhVhkg-Cog6ge3QCBwQrpYIxVqyg
"Senior Product Development Engineer - Huntsville, AL",Raytheon Missiles & Defense,"Huntsville, AL","PDEs are responsible to Integrated Product Teams (IPTs) for input to the design process in areas such as materials selection, construction, layout, component…",N/A,3.7 ,simplyhired.com/job/Db9YZapH0_V4XojHT-KNsVFT0BRlu9S7o2F-CRaPocmW0wj2hjve5Q
Senior Research Software Engineer (Operations Research and Financial Engineering),Princeton University,"Princeton, NJ","Education: A Bachelor's degree in computer science, finance, engineering, sciences, or related computational field required.",Estimated: $108K - $137K a year,4.4 ,simplyhired.com/job/kw2VnRDdsRQihAZqUoWuBxnb14oGTBNBnETwqT3Jw_y7F9VQIXVgIQ
Minimum $40 Sign-On Bonus** GPS Subsystem Senior Principal Engineer,Raytheon Missiles & Defense,"Tucson, AZ","Our core electrical engineering responsibilities include architecture, analysis, requirements, integration, and test. Ability to manage cross-functional teams.",N/A,3.7 ,simplyhired.com/job/75hgM8WuoRzUavrcf0kkbPAbwhNFAdiRQl4SsTR-v7tE1YRrYAZXag
Minimum $40k Sign-On Bonus** Senior Principal Optical Design Engineer,Raytheon Missiles & Defense,"Tucson, AZ","We are looking for a Senior Optical Design Engineer who willing to collaborate, innovate, and team with our opto-mechanical, detector and cryo engineers to…",N/A,3.7 ,simplyhired.com/job/VD9dabGcB9FNWK8dHMix2ZdALl7sE3DWhPJkawNSAxtKth4eyBMVHA
Minimum 20k Sign-On Bonus-Senior Product Development Engineer,Raytheon Missiles & Defense,"Tucson, AZ","PDEs are responsible to Integrated Product Teams (IPTs) for input to the design process in areas such as materials selection, construction, layout, component…",N/A,3.7 ,simplyhired.com/job/40Rrf4Hs_x8Z_fAUtAIHPWFkUOamX9h3py6xbq2_TrrtULToZIKazA
Senior Cloud Security Engineer (Threat Discovery & Assessment),Navy Federal Credit Union,"Vienna, VA","Experience with methodologies and security testing tools for threat analysis of complex applications and services including threat modeling, software fuzzing,…","$101,000 - $185,200 a year",3.9 ,simplyhired.com/job/G6sEcmPGUIi56mvKsj9mA8TiQZsq4qo5eJY313gTSstAZZLXY63NZA
DevOps / Platform Engineer,Burns & McDonnell,Indiana,"Familiarity with tools/technology such as Pivot Tables, Data Models, Office 365 apps, and other efficiency/data tracking tools.",Estimated: $73.6K - $93.2K a year,3.6 ,simplyhired.com/job/n4R8nPIR9QtLC4j94RwsOfQ554eFJR7M23ZVuHUe6UyJCQItnVKXzQ
Project Coordinator - Architect or Engineer,Marx Okubo and Assoc.,"Nashville, TN","Perform field observations for project condition assessment surveys, construction loan monitoring and new construction.",Estimated: $78.2K - $99K a year,N/A,simplyhired.com/job/8LuK2h4M-ohjEncIOyS3tkXfhzRjh3wOnQMsKwhRvRXOfcVp6pj_nw
"Environmental Engineers (Entry, Mid, Senior Levels)",Soil and Land Use Technology,"Glen Burnie, MD",Professional Engineer license or the ability to obtain it. Bachelor’s Degree in environmental engineering or related discipline.,Estimated: $68.4K - $86.6K a year,N/A,simplyhired.com/job/A6xXUfoKXp0ea4La8KQK0dbBV1aWoxXgkX5ymPMtgS4xaJIJnwzIug
Engineer/Architect Technician,Integral,"Oakland, CA","Provide support to project managers in the execution of CEUO design actions including, but not limited to, preparation of design procurement documents, CADD…",Estimated: $82K - $104K a year,2.7 ,simplyhired.com/job/4cnueUm2sliEwDuYELe43NJaXebh84N2rd3NevN2_GTAll4q2Qp-8g
"Senior Electrical Engineer, RF Microwave Design",Raytheon Missiles & Defense,"Andover, MA","MS in Electrical Engineering or related science or engineering field. In the Test Characterization section of AMSD, the candidate will be responsible for…",N/A,3.7 ,simplyhired.com/job/muWgOaDlGtttGZ9HrqNRQLYZOdhg-6AAv-Blfayyapa-SDRcGyAv8A
